iter	Passed	Remaining
0	50	5044
1	53	2605
2	55	1789
3	57	1379
4	59	1132
5	61	967
6	63	848
7	66	759
8	68	689
9	70	633
10	72	587
11	74	548
12	76	515
13	79	486
14	81	460
15	83	438
16	85	418
17	87	400
18	90	384
19	92	369
20	94	354
21	96	342
22	98	330
23	100	319
24	102	308
25	104	298
26	107	289
27	109	280
28	111	272
29	113	264
30	115	257
31	117	250
32	119	243
33	121	236
34	124	230
35	126	224
36	128	218
37	130	212
38	132	207
39	134	201
40	136	196
41	138	191
42	140	186
43	143	182
44	145	177
45	147	173
46	149	168
47	151	164
48	154	160
49	156	156
50	158	152
51	160	148
52	162	144
53	164	140
54	166	136
55	169	132
56	171	129
57	173	125
58	175	121
59	177	118
60	179	114
61	181	111
62	183	108
63	186	104
64	188	101
65	190	98
66	192	94
67	194	91
68	196	88
69	198	85
70	200	82
71	203	78
72	205	75
73	207	72
74	209	69
75	211	66
76	213	63
77	215	60
78	217	57
79	220	55
80	222	52
81	224	49
82	226	46
83	228	43
84	230	40
85	232	37
86	234	35
87	236	32
88	238	29
89	241	26
90	243	24
91	245	21
92	247	18
93	249	15
94	252	13
95	254	10
96	256	7
97	258	5
98	260	2
99	262	0
